Fold 1,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.96,0.96,0.96,0.96,0.99,24,214,1,1
,1,0.77,0.92,0.84,0.83,0.96,24,207,7,2
,2,0.69,0.55,0.61,0.58,0.94,11,215,5,9
,3,0.62,0.81,0.7,0.67,0.92,21,201,13,5
,4,0.91,0.87,0.89,0.88,0.98,20,215,2,3
,5,0.71,0.65,0.68,0.65,0.94,15,211,6,8
,6,0.89,0.86,0.87,0.86,0.97,24,209,3,4
,7,0.79,0.68,0.73,0.7,0.94,19,207,5,9
,8,0.53,0.6,0.56,0.53,0.94,9,217,8,6
,9,0.78,0.69,0.73,0.71,0.95,18,209,5,8
Overall MCC,0.75
Overall Accuracy,0.77

Fold 2,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,1.0,0.86,0.93,0.92,0.99,19,218,0,3
,1,0.67,0.92,0.77,0.75,0.94,24,202,12,2
,2,0.8,0.52,0.63,0.62,0.94,12,214,3,11
,3,0.67,0.86,0.75,0.72,0.93,24,200,12,4
,4,0.82,0.92,0.87,0.85,0.97,23,210,5,2
,5,0.74,0.64,0.68,0.66,0.95,14,213,5,8
,6,0.95,0.91,0.93,0.93,0.99,21,216,1,2
,7,0.96,0.82,0.88,0.87,0.98,23,211,1,5
,8,0.37,0.5,0.42,0.36,0.88,11,199,19,11
,9,0.45,0.24,0.31,0.28,0.91,5,213,6,16
Overall MCC,0.71
Overall Accuracy,0.73

Fold 3,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,1.0,0.83,0.91,0.9,0.98,20,216,0,4
,1,0.72,0.86,0.78,0.76,0.96,18,212,7,3
,2,0.76,0.68,0.72,0.68,0.94,19,206,6,9
,3,0.81,0.72,0.76,0.73,0.95,21,206,5,8
,4,0.82,0.86,0.84,0.82,0.97,18,215,4,3
,5,0.71,0.74,0.73,0.69,0.94,20,205,8,7
,6,0.78,0.82,0.8,0.78,0.96,18,213,5,4
,7,0.87,0.57,0.68,0.68,0.95,13,215,2,10
,8,0.58,0.79,0.67,0.62,0.91,22,196,16,6
,9,0.33,0.35,0.34,0.29,0.9,6,211,12,11
Overall MCC,0.7
Overall Accuracy,0.73

Fold 4,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,1.0,0.71,0.83,0.83,0.97,17,216,0,7
,1,0.65,0.83,0.73,0.7,0.94,20,205,11,4
,2,0.81,0.52,0.63,0.6,0.92,17,203,4,16
,3,0.5,0.76,0.6,0.58,0.93,13,210,13,4
,4,0.7,0.7,0.7,0.67,0.95,14,214,6,6
,5,0.86,0.62,0.72,0.7,0.94,18,208,3,11
,6,0.73,0.9,0.81,0.79,0.96,19,212,7,2
,7,0.7,0.79,0.75,0.72,0.95,19,208,8,5
,8,0.6,0.69,0.64,0.6,0.92,18,202,12,8
,9,0.57,0.55,0.56,0.51,0.92,12,209,9,10
Overall MCC,0.67
Overall Accuracy,0.7

Fold 5,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,1.0,0.86,0.92,0.92,0.99,18,219,0,3
,1,0.75,0.91,0.82,0.81,0.96,21,210,7,2
,2,0.72,0.62,0.67,0.63,0.92,18,204,7,11
,3,0.44,0.78,0.56,0.51,0.86,21,186,27,6
,4,0.77,0.77,0.77,0.75,0.96,17,213,5,5
,5,0.68,0.54,0.6,0.57,0.93,13,210,6,11
,6,0.85,0.96,0.9,0.89,0.98,22,213,4,1
,7,0.81,0.65,0.72,0.7,0.95,17,210,4,9
,8,0.59,0.59,0.59,0.55,0.92,13,209,9,9
,9,0.55,0.26,0.35,0.33,0.91,6,212,5,17
Overall MCC,0.66
Overall Accuracy,0.69

Fold 6,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,1.0,0.95,0.98,0.97,1.0,21,218,0,1
,1,0.56,0.86,0.68,0.66,0.93,18,205,14,3
,2,0.8,0.73,0.76,0.74,0.96,16,214,4,6
,3,0.54,0.81,0.65,0.63,0.94,13,213,11,3
,4,0.75,0.65,0.7,0.67,0.95,15,212,5,8
,5,0.64,0.56,0.6,0.55,0.92,14,207,8,11
,6,0.8,0.83,0.82,0.8,0.96,20,211,5,4
,7,0.86,0.76,0.81,0.79,0.96,19,212,3,6
,8,0.62,0.62,0.62,0.55,0.89,21,193,13,13
,9,0.5,0.36,0.42,0.36,0.88,10,202,10,18
Overall MCC,0.66
Overall Accuracy,0.7

Fold 7,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.93,0.96,0.94,0.94,0.99,25,212,2,1
,1,0.57,0.88,0.69,0.67,0.92,21,200,16,3
,2,0.86,0.57,0.69,0.68,0.95,12,217,2,9
,3,0.52,0.92,0.67,0.65,0.91,22,196,20,2
,4,0.9,0.78,0.84,0.82,0.97,18,215,2,5
,5,0.59,0.48,0.53,0.49,0.92,10,212,7,11
,6,0.8,0.91,0.85,0.84,0.97,20,213,5,2
,7,0.87,0.57,0.68,0.68,0.95,13,215,2,10
,8,0.55,0.5,0.52,0.47,0.91,12,206,10,12
,9,0.81,0.53,0.64,0.62,0.92,17,204,4,15
Overall MCC,0.68
Overall Accuracy,0.71

Fold 8,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.94,0.74,0.83,0.82,0.97,17,216,1,6
,1,0.71,0.91,0.8,0.78,0.96,20,210,8,2
,2,0.79,0.62,0.7,0.67,0.95,15,212,4,9
,3,0.65,0.88,0.75,0.72,0.94,22,203,12,3
,4,0.82,0.74,0.78,0.75,0.95,23,204,5,8
,5,0.5,0.6,0.55,0.51,0.94,9,216,9,6
,6,0.92,0.92,0.92,0.91,0.98,23,213,2,2
,7,0.91,0.78,0.84,0.82,0.97,21,211,2,6
,8,0.6,0.67,0.63,0.58,0.91,18,201,12,9
,9,0.59,0.48,0.53,0.49,0.92,10,212,7,11
Overall MCC,0.71
Overall Accuracy,0.74

Fold 9,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,1.0,0.96,0.98,0.98,1.0,26,213,0,1
,1,0.64,0.87,0.74,0.71,0.92,27,194,15,4
,2,0.79,0.46,0.58,0.57,0.93,11,213,3,13
,3,0.59,0.87,0.7,0.68,0.93,20,203,14,3
,4,0.78,0.7,0.74,0.72,0.96,14,216,4,6
,5,0.74,0.65,0.69,0.66,0.94,17,208,6,9
,6,0.82,0.92,0.87,0.85,0.97,23,210,5,2
,7,0.77,0.83,0.8,0.79,0.98,10,225,3,2
,8,0.44,0.44,0.44,0.37,0.88,11,201,14,14
,9,0.65,0.41,0.5,0.47,0.91,11,207,6,16
Overall MCC,0.68
Overall Accuracy,0.71

Fold 10,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,1.0,0.88,0.94,0.93,0.99,23,214,0,3
,1,0.7,0.86,0.78,0.76,0.95,19,210,8,3
,2,1.0,0.62,0.77,0.78,0.98,10,224,0,6
,3,0.61,0.88,0.72,0.7,0.93,22,201,14,3
,4,0.83,0.78,0.81,0.78,0.95,25,203,5,7
,5,0.75,0.75,0.75,0.72,0.94,21,205,7,7
,6,0.88,0.85,0.87,0.85,0.97,23,210,3,4
,7,0.85,0.71,0.77,0.75,0.96,17,213,3,7
,8,0.5,0.65,0.56,0.53,0.93,11,212,11,6
,9,0.78,0.61,0.68,0.66,0.95,14,213,4,9
Overall MCC,0.75
Overall Accuracy,0.77

