Fold 1,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.89,1.0,0.94,0.94,0.99,25,212,3,0
,1,1.0,0.96,0.98,0.98,1.0,25,214,0,1
,2,0.88,0.75,0.81,0.8,0.97,15,218,2,5
,3,0.83,0.92,0.87,0.86,0.97,24,209,5,2
,4,0.71,0.74,0.72,0.69,0.95,17,210,7,6
,5,0.94,0.74,0.83,0.82,0.97,17,216,1,6
,6,0.93,0.89,0.91,0.9,0.98,25,210,2,3
,7,0.87,0.96,0.92,0.9,0.98,27,208,4,1
,8,0.71,0.67,0.69,0.67,0.96,10,221,4,5
,9,0.74,0.77,0.75,0.72,0.95,20,207,7,6
Overall MCC,0.84
Overall Accuracy,0.85

Fold 2,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.88,0.95,0.91,0.9,0.98,21,215,3,1
,1,0.81,1.0,0.9,0.89,0.98,26,208,6,0
,2,0.81,0.57,0.67,0.65,0.95,13,214,3,10
,3,0.73,0.86,0.79,0.76,0.95,24,203,9,4
,4,0.95,0.8,0.87,0.86,0.98,20,214,1,5
,5,0.77,0.77,0.77,0.75,0.96,17,213,5,5
,6,0.88,1.0,0.94,0.93,0.99,23,214,3,0
,7,0.74,0.93,0.83,0.81,0.95,26,203,9,2
,8,0.8,0.55,0.65,0.63,0.95,12,215,3,10
,9,0.94,0.71,0.81,0.8,0.97,15,218,1,6
Overall MCC,0.8
Overall Accuracy,0.82

Fold 3,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.96,0.96,0.96,0.95,0.99,23,215,1,1
,1,0.78,1.0,0.88,0.87,0.98,21,213,6,0
,2,0.96,0.79,0.86,0.85,0.97,22,211,1,6
,3,0.86,0.83,0.84,0.82,0.96,24,207,4,5
,4,0.77,0.95,0.85,0.84,0.97,20,213,6,1
,5,0.8,0.59,0.68,0.66,0.94,16,209,4,11
,6,0.91,0.95,0.93,0.93,0.99,21,216,2,1
,7,0.74,1.0,0.85,0.85,0.97,23,209,8,0
,8,0.86,0.64,0.73,0.71,0.95,18,209,3,10
,9,0.94,0.94,0.94,0.94,0.99,16,222,1,1
Overall MCC,0.84
Overall Accuracy,0.85

Fold 4,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.96,0.96,0.96,0.95,0.99,23,215,1,1
,1,0.96,1.0,0.98,0.98,1.0,24,215,1,0
,2,1.0,0.88,0.94,0.93,0.98,29,207,0,4
,3,0.73,0.94,0.82,0.81,0.97,16,217,6,1
,4,0.89,0.8,0.84,0.83,0.98,16,218,2,4
,5,0.9,0.93,0.92,0.9,0.98,27,208,3,2
,6,0.86,0.86,0.86,0.84,0.98,18,216,3,3
,7,0.81,0.92,0.86,0.85,0.97,22,211,5,2
,8,0.77,0.65,0.71,0.68,0.94,17,209,5,9
,9,0.77,0.77,0.77,0.75,0.96,17,213,5,5
Overall MCC,0.86
Overall Accuracy,0.87

Fold 5,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.95,0.95,0.95,0.95,0.99,20,218,1,1
,1,0.88,0.96,0.92,0.91,0.98,22,214,3,1
,2,0.95,0.72,0.82,0.81,0.96,21,210,1,8
,3,0.81,0.93,0.86,0.85,0.97,25,207,6,2
,4,0.86,0.86,0.86,0.85,0.98,19,215,3,3
,5,0.91,0.88,0.89,0.88,0.98,21,214,2,3
,6,0.92,0.96,0.94,0.93,0.99,22,215,2,1
,7,0.68,0.96,0.79,0.78,0.95,25,202,12,1
,8,0.93,0.64,0.76,0.75,0.96,14,217,1,8
,9,0.85,0.74,0.79,0.77,0.96,17,214,3,6
Overall MCC,0.84
Overall Accuracy,0.86

Fold 6,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,1.0,0.95,0.98,0.97,1.0,21,218,0,1
,1,0.78,1.0,0.88,0.87,0.98,21,213,6,0
,2,0.91,0.91,0.91,0.9,0.98,20,216,2,2
,3,0.73,1.0,0.84,0.84,0.98,16,218,6,0
,4,0.74,0.61,0.67,0.64,0.94,14,212,5,9
,5,0.91,0.84,0.87,0.86,0.98,21,213,2,4
,6,0.92,0.96,0.94,0.93,0.99,23,214,2,1
,7,0.8,0.96,0.87,0.86,0.97,24,209,6,1
,8,0.88,0.65,0.75,0.72,0.94,22,203,3,12
,9,0.81,0.75,0.78,0.75,0.95,21,207,5,7
Overall MCC,0.83
Overall Accuracy,0.85

Fold 7,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.96,1.0,0.98,0.98,1.0,26,213,1,0
,1,0.74,0.96,0.84,0.82,0.96,23,208,8,1
,2,0.89,0.76,0.82,0.81,0.97,16,217,2,5
,3,0.74,0.96,0.84,0.82,0.96,23,208,8,1
